Houston Rockets,,https://www.basketball-reference.com/contracts/HOU.html,,,,,,,,,,,,,,,,,,,"The Cavs will be able to offerÿLeBronÿJames a projectedÿmax contractÿof 5 years, $205M this summer; all other teams can offer 4 years, $152M.",
,,Assigned MP,,,,,,,,,,,2019,,,,,,,,Max CLE,"$41,000,000 "
Player,Rec. MP,PG,SG,SF,PF,C,Total,Slope,,Off +/-,Def +/-,*,Salary,Age,WORP,Shed $$$,117%,Upside Value,,,Max others,"$38,000,000 "
Chris Paul,25.9,30,,,,,30,0.184445087,,+5.0,+0.9,*,"$35,400,000",33,13.2,,<-- Re-sign FA,,,,Opt in,"$35,607,968 "
James Harden,30.4,10,20,5,,,35,0.21317078,,+6.5,-0.0,*,"$30,431,854",29,16.7,,,,,,,
LeBron James,33.7,,,25,10,,35,0,,+5.4,+0.8,,"$35,607,968",34,16.1,,<-- Trade w/ CLE,44.2,,,,
Eric Gordon,24.5,0,0,0,0,0,0,0,,+1.5,-1.4,,,30,0.0,"$13,500,375",<-- Trade w/ CLE,6.7,,,,
Ryan Anderson,19.5,,,10,15,,25,0.314651713,,+0.2,-1.3,*,"$20,421,546",30,1.3,,,,,,,
P.J. Tucker,20.8,0,0,0,0,0,0,0,,-1.1,+0.8,,,33,0.0,"$7,969,537",<-- Trade w/ CLE,3.8,,,,
Nene Hilario,9.4,0,0,0,0,0,0,0,,-1.8,+2.3,,,36,0.0,"$3,651,480",<-- Trade w/ CLE,1.9,,,,
Chinanu Onuaku,18.5,0,0,0,0,0,0,0,,-1.5,-0.1,,,22,0.0,"$1,544,951",<-- Trade w/ CLE,NULL,,,,
Zhou Qi,11.8,0,0,0,0,0,0,0,,-2.5,+0.2,,,23,0.0,"$1,378,242",<-- Trade w/ CLE,NULL,,,,
Troy Williams,9.8,0,0,0,0,0,0,0,,-1.6,+0.1,,"$1,544,951",24,0.0,,,,,,,
Aaron Jackson,19.2,0,0,0,0,0,0,0,,-1.5,-0.5,,,32,0.0,"$1,378,242",<-- Trade w/ CLE,NULL,,,,
No. 46 pick,18.1,0,0,0,0,0,0,#N/A,,-2.3,-0.8,#N/A,,20,0.0,"$831,311 ",<-- Renounced,,,,,
Clint Capela,25.2,,,,,28,28,0.071030777,,-0.6,+2.4,*,"$16,000,000",24,6.0,,<-- Re-sign FA,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Replacement Level,,8,28,8,23,20,87,,,-1.3,+0.0,,,23,0.0,,,,,,,
,,,,,,,Team Tot,,,+9.2,+1.8,,"$139,406,319",31.0,,,,,,,,
,,Expected Champs,,,,,,,,,,,"-$38,406,319",<< vs. cap,,,,,,,,
,,Year+1,Year+2,Year+3,Year+4,Total,,,,Projected Record,,,"-$16,406,319",<< vs. tax,,,,,,,,
HOU,,53%,30%,17%,13%,1.13,76%,,,W,L,,,,,,,,,,,
,,Chance of at least 1 title:,,,,76%,,,,65.6,16.4,,,,,,,,,,,
http://www.espn.com/nba/story/_/id/23524190/lebron-james-houston-rockets-summer-here-how-happen-nba,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,,https://www.basketball-reference.com/contracts/TOR.html,,,,,,,,,,,,,,,,,,,,
,,Assigned MP,,,,,,,,,,,2019,,,,,,,,,
Player,Rec. MP,PG,SG,SF,PF,C,Total,Slope,,Off +/-,Def +/-,*,Salary,Age,WORP,Shed $$$,124%,Upside Value,,,,
Kyle Lowry,28.3,32,,,,,32,0.145638655,,+4.2,-0.2,*,"$31,000,000 ",32,10.7,,,,,,,
DeMar DeRozan,28.4,,34,,,,34,0.299509953,,+2.2,-1.6,*,"$27,739,975 ",29,4.9,,,,,,,
Serge Ibaka,22.8,,,,28,,28,0.288129875,,-1.2,+0.6,*,"$21,666,667 ",29,2.2,,,,,,,
Jonas Valanciunas,22.4,0,0,0,0,0,0,0,,-0.4,+1.0,,,26,0.0,"$16,539,326",<-- Trade w/ CLE,11.5,,,,
C.J. Miles,14.1,,12,8,,,20,0.393869904,,+0.0,-1.6,*,"$8,333,333 ",31,0.4,,,,,,,
Jakob Poeltl,19.3,0,0,0,0,0,0,0,,-0.8,+2.1,,,23,0.0,"$2,947,320",<-- Trade w/ CLE,17.8,,,,
Delon Wright,18.8,0,0,0,0,0,0,0,,+0.7,+0.5,,,26,0.0,"$2,536,898",<-- Trade w/ CLE,13.2,,,,
OG Anunoby,25.1,0,0,0,0,0,0,0,,+0.4,+0.5,,,21,0.0,"$1,952,760",<-- Trade w/ CLE,26.4,,,,
Malachi Richardson,8.3,,,5,5,,10,0,,-1.1,-1.0,,"$1,569,360",23,-0.1,,,,,,,
Norman Powell,12.6,5,2,5,,,12,0,,-1.2,-1.0,,"$9,367,200",25,-0.1,,,,,,,
Pascal Siakam,20.0,0,0,0,0,0,0,0,,-0.8,+1.2,,,24,0.0,"$1,544,951",<-- Trade w/ CLE,12.6,,,,
Alfonzo McKinnie,10.7,0,0,0,0,0,0,0,,-1.4,-0.4,,,26,0.0,"$1,378,242",<-- Trade w/ CLE,NULL,,,,
Justin Hamilton,8.6,0,0,0,0,0,0,0,,-1.9,+0.6,,"$1,000,000",28,0.0,,,,,,,
LeBron James,33.7,5,,30,,,35,0,,+5.4,+0.8,,"$35,607,968",34,16.1,,<-- Trade w/ CLE,44.2,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Replacement Level,,6,0,0,15,48,69,,,-1.5,+0.9,,,23,0.0,,,,,,,
,,,,,,,Team Tot,,,+4.8,-0.3,,"$136,284,503",32.4,,,,,,,,
,,Expected Champs,,,,,,,,,,,"-$35,284,503",<< vs. cap,,,,,,,,
,,Year+1,Year+2,Year+3,Year+4,Total,,,,Projected Record,,,"-$13,284,503",<< vs. tax,,,,,,,,
TOR,,20%,17%,11%,7%,0.56,45%,,,W,L,,,,,,,,,,,
,,Chance of at least 1 title:,,,,45%,,,,52.6,29.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,,https://www.basketball-reference.com/contracts/LAL.html,,,,,,,,,,,,,,,,,,,,
,,Assigned MP,,,,,,,,,,,2019,,,,,,,,,
Player,Rec. MP,PG,SG,SF,PF,C,Total,Slope,,Off +/-,Def +/-,*,Salary,Age,WORP,Shed $$$,,Upside Value,,,,
Lonzo Ball,30.3,32,,,,,32,0,,+0.4,+2.1,,"$7,461,960 ",21,8.1,,,,Stretch Provision,,,
Paul George,32.2,,30,5,,,35,0.066334619,,+2.1,+0.6,*,"$35,500,000 ",28,9.1,,,,,,,
LeBron James,33.7,,,25,10,,35,0,,+5.4,+0.8,,"$35,607,968 ",34,16.1,,,,,,,
Brandon Ingram,28.4,,,5,21,5,31,0.052071791,,-0.4,-0.4,*,"$5,757,120 ",21,2.0,,,,,,,
Julius Randle,24.9,0,0,0,0,0,0,0,,+0.4,-0.1,,,24,0.0,,,,,,,
Tyler Ennis,11.5,5,10,,,,15,0.190471429,,-0.9,-0.7,*,"$1,656,092",24,0.3,,,,,,,
Kyle Kuzma,28.3,,,7,17,5,29,0,,+0.3,-1.0,,"$1,689,840",23,2.2,,,,,,,
Josh Hart,21.5,3,8,6,,,17,0,,+0.5,-0.7,,"$1,655,160",23,1.7,,,,,,,
Ivica Zubac,11.7,,,,,14,14,0.039640095,,-1.9,+1.4,*,"$1,544,951",21,1.1,,,,,,,
Thomas Bryant,11.2,,,,,12,12,0,,-1.4,-0.1,,"$1,378,242",21,0.4,,,,,,,
